prolificid,timestart,duration,flag,badsig,recaptcha,age,shouldconcern,progressivity,progressivity_timing,viewchange,viewchange_oth,viewbetter,viewbetter_oth,viewworse,viewworse_oth,proposal,proposal_group,taxdemotivates,gapmotivates,fundedu,protecttrade,cuttaxes,univhealth,wealthtax,zerosumrich,zerosumceo,zerosumwomen,zerosumdei,moveup20,moveup50,moveupnow,workhaspaid,workwillpay,eduwillpay,compmoth,compfath,compfam,compper,nohh,hhin10,pinc,pinc10est,pinc10cert,pinc10high,pinc10low,hhinc,hhinc10exp,hhinc10cert,hhinc10high,hhinc10low,hhincneed,child30s,hhincneed30s,child40s,hhincneed40s,stranger100,friend100,oneyr1100,oneyr1500,oneyr2000,fiveyr1100,fiveyr1500,fiveyr2000,currentdesires,ranksalary,rankflex,rankgrowth,rankmeaning,rankenviron,satisfiedbasics,startbiz,stableincome,worriedjob,similarjob,safetynet,riskai,riskclimate,riskhealth,riskhome,gender,marital,marital_oth,children,childrenplan,race,race_oth,usborn,usbornparents,state,zip,density,homestate,hometown,homedensity,student,edu,eduplan,edumoth,edufath,employment,ideolecon,ideolsocial,vote2024,vote2020,surveybias,feedback
66be603679dd3fda988c1778,7/24/25 13:37,266,,,.89999998,20,The government should not concern itself with this.,Somewhat less progressive,late,No change,,,,,,Support slightly,poor,Neutral,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Unlikely (20-40%),Almost no chance (0-20%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Below average,Below average,Above average,Average,"No, someone else also earns income","Yes, more than one person",10000,10000000,Very certain,100000,10000,350000,1000000,Very certain,1000000,300000,200000,Will not have children,600000,Will not have children,2000000,$91-$100,$91-$100,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree strongly,,,,,,Neutral,Maybe,Neutral,Somewhat worried,Unlikely (10-40%),1–3 months,The risk is high,The risk is substantial,The risk is substantial,The risk is low,Male,Single,,0,Unsure,"American Indian or Alaska Native,Asian or Asian American",,Yes,No,Florida,33328,Suburban,Florida,Plantation,Suburban,4-year college,Some college,4-year college degree,"Master's degree (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)",Student,Moderate,Moderate,Kamala Harris,I did not vote,Unbiased,
664fa6197cd2ac12ab45da27,7/24/25 13:37,480,,,.89999998,22,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,I now support redistribution slightly more than in the past,,I think the policy is more fair now,,,,Support strongly,middle,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Below average,Average,Below average,Below average,Yes,"Yes, more than one person",37000,75000,Somewhat certain,80000,60000,,110000,Somewhat certain,180000,95000,50000,Will not have children,70000,Will not have children,70000,$0-$10,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,2,5,4,1,3,Agree somewhat,Definitely not,Very stable,Not worried at all,Almost certain (90-100%),More than 6 months,No risk,The risk is low,The risk is low,The risk is substantial,Female,Cohabitating,,0,0,American Indian or Alaska Native,,Yes,Yes,Oklahoma,74464,Suburban,Oklahoma,,Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",Some college,,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,
6658cd81e4e49937196d341c,7/24/25 13:37,701,,,.89999998,22,The government should concern itself with this.,Much less progressive (everyone should be taxed at about the same rate),late,I now support redistribution much more than in the past,,Taxes affect me less now,,,,Support moderately,middle,Neutral,Agree strongly,Agree strongly,Disagree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Disagree somewhat,Agree strongly,Agree strongly,Likely (60-80%),Almost no chance (0-20%),Much harder now,It has not paid off much,It will not pay off much,It will pay off somewhat,Average,Unsure / Not applicable,Far below average,Far below average,Yes,"Yes, more than one person",25000,48800,Not very certain,48800,48800,,73200,Not very certain,73200,73200,25000,Will have children,35000,Will have children,55000,$0-$10,$11-$20,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree strongly,2,4,3,5,1,Agree somewhat,Probably not,Somewhat unstable,Very worried,Unlikely (10-40%),Less than 1 month,The risk is substantial,The risk is substantial,The risk is low,The risk is high,Female,Single,,0,2,Hispanic or Latino,,Yes,Yes,Texas,78572,Urban,Texas,Mission,Urban,2-year college,2-year college degree,4-year college degree,4-year college degree,,Part-time employee,Liberal,Liberal,Kamala Harris,I did not vote,Unbiased,
650f205219d6a05c68fb181d,7/24/25 13:37,821,,,1,28,The government should concern itself with this.,Somewhat more progressive,late,I now support redistribution slightly more than in the past,,I think the policy is better for the economy now,,,,Reject moderately,both,Agree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,Disagree strongly,Agree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat,Unlikely (20-40%),Likely (60-80%),Somewhat harder now,It has paid off somewhat,It will pay off somewhat,It will not pay off much,Below average,Below average,Above average,Above average,"No, someone else also earns income","Yes, more than one person",0,70000,Somewhat certain,100000,55000,205000,300000,Somewhat certain,350000,200000,180000,Will have children,190000,Will have children,200000,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,3,2,4,5,Disagree somewhat,Probably not,Somewhat stable,Not very worried,Even chance (40-60%),More than 6 months,The risk is low,The risk is substantial,The risk is low,I have already owned or currently own a home,Female,Married,,2,3,White or European American,,Yes,Yes,Washington,98685,Suburban,Washington,Vancouver,Suburban,Not a student,Some college,Some college,Some college,"Master's degree (e.g., MA, MS, MBA)","Not in the labor force (for example: retired, or full-time parent)",Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,This was a well made study. Thank you!
664a16dadcc9b3525dd04be1,7/24/25 13:37,1269,,,1,24,The government should not concern itself with this.,No change,late,No change,,,,,,Support slightly,poor,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,Indifferent,Disagree somewhat,Disagree somewhat,Neutral,Disagree somewhat,Disagree somewhat,Neutral,Unlikely (20-40%),Unlikely (20-40%),Somewhat harder now,It has paid off somewhat,It will pay off somewhat,It will not pay off much,Average,Below average,Below average,Below average,"No, someone else also earns income","Yes, more than one person",25000,75000,Somewhat certain,120000,50000,35000,125000,Somewhat certain,200000,100000,35000,Will have children,120000,Will have children,130000,$41-$50,$21-$30,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Indifferent,4,3,5,2,1,Agree somewhat,Probably not,Somewhat unstable,Not very worried,Even chance (40-60%),3–6 months,The risk is substantial,The risk is low,The risk is low,The risk is substantial,Female,Married,,0,2,"Asian or Asian American,Native Hawaiian or Pacific Islander,White or European American",,Yes,No,Missouri,65203,Urban,Missouri,Warrensburg,Suburban,"Research doctoral program (e.g., PhD, DSc)","Master's degree (e.g., MA, MS, MBA)","Research doctorate (e.g., PhD, DSc)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",Part-time employee,Moderate,Moderate,Other,Other,Unbiased,
670453b0d93209a1e156916d,7/24/25 13:38,635,,,1,25,The government should concern itself with this.,Somewhat more progressive,late,I now support redistribution slightly more than in the past,,I think the policy is better for the economy now,,,,Support moderately,both,Disagree strongly,Disagree somewhat,Agree somewhat,Indifferent,Disagree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Disagree strongly,Neutral,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has not paid off much,It will pay off somewhat,It will not pay off much,Average,Average,Average,Below average,"No, someone else also earns income","No, just myself",10000,35000,Somewhat certain,45000,20000,38000,,,,,18000,Will not have children,25000,Will not have children,28000,$21-$30,$0-$10,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,3,1,4,5,2,Agree strongly,Probably not,Very unstable,Very worried,Unlikely (10-40%),1–3 months,No risk,No risk,The risk is high,The risk is high,Male,Single,,0,Unsure,White or European American,,Yes,Yes,Michigan,49329,Rural,Michigan,Owosso,Rural,Not a student,Some college,2-year college degree,Some college,4-year college degree,Self-employed or small business owner,Moderate,Liberal,Kamala Harris,I did not vote,Unbiased,
5e45a09c8155b00828c83d95,7/24/25 13:38,1158,,,1,27,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,I now support redistribution much less than in the past,,,,I think the policy is less fair now,,Reject slightly,middle,Disagree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Neutral,Disagree strongly,Almost no chance (0-20%),Almost no chance (0-20%),Much harder now,It has not paid off much,It will not pay off much,It will pay off somewhat,Far below average,Far below average,Below average,Above average,"No, someone else also earns income","Yes, more than one person",55000,100000,Somewhat certain,110000,800000,110000,200000,Not very certain,250000,150000,60000,Will not have children,70000,Will not have children,80000,$0-$10,$21-$30,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,1,3,2,5,4,Agree strongly,Probably,Very stable,Not worried at all,Likely (60-90%),More than 6 months,The risk is low,The risk is low,The risk is low,No risk,Male,Cohabitating,,0,0,Hispanic or Latino,,Yes,No,Illinois,60302,Urban,Illinois,OAK PARK,Urban,Not a student,High school degree / GED,High school degree / GED,Eighth grade or less,Eighth grade or less,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,
67a3940b5886c0df14017090,7/24/25 13:38,506,,,1,25,The government should not concern itself with this.,No change,late,No change,,,,,,Reject moderately,poor,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Unsure,Unsure,Disagree somewhat,Disagree somewhat,Unsure,Disagree somewhat,Agree strongly,Likely (60-80%),Almost guaranteed (80-100%),Somewhat harder now,It has paid off a lot,It will pay off a lot,It will pay off somewhat,Average,Below average,Far above average,Above average,"No, someone else also earns income","Yes, more than one person",72000,200000,Not very certain,250000,100000,144000,350000,Not very certain,500000,190000,100000,Will have children,150000,Will have children,175000,$0-$10,$21-$30,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree strongly,1,3,2,5,4,Disagree somewhat,Maybe,Somewhat stable,Not very worried,Even chance (40-60%),3–6 months,The risk is substantial,No risk,The risk is low,The risk is low,Male,Married,,0,2,White or European American,,Yes,Yes,Colorado,80020,Suburban,Michigan,Romeo,Rural,Not a student,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",2-year college degree,"Master's degree (e.g., MA, MS, MBA)",Full-time employee,Conservative,Moderate,Donald Trump,Donald Trump,Left-wing biased,
6784863a028ac25ee3f395ee,7/24/25 13:38,569,,,.80000001,23,The government should not concern itself with this.,Much less progressive (everyone should be taxed at about the same rate),late,I now support redistribution much less than in the past,,,,"Taxes affect me more now,I think the policy is less fair now",,Reject slightly,middle,Disagree somewhat,Agree somewhat,Indifferent,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has not paid off much,It will pay off somewhat,It will pay off somewhat,Average,Below average,Above average,Far below average,"No, someone else also earns income","No, just myself",50000,80000,Somewhat certain,100000,65000,110000,,,,,60000,Will not have children,110000,Will not have children,110000,$21-$30,$41-$50,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,2,1,3,5,4,Disagree somewhat,Probably not,Neutral,Very worried,Unlikely (10-40%),3–6 months,The risk is low,The risk is low,The risk is low,I have already owned or currently own a home,Male,Single,,0,0,White or European American,,Yes,Yes,New York,14062,Suburban,New York,Rochester,Suburban,4-year college,Some college,4-year college degree,4-year college degree,2-year college degree,Student,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,
66969c9921e4f92ad108ed4c,7/24/25 13:39,1042,,,.89999998,26,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),late,Other:,"Rather than direct redistribution, a healthier and functioning  economy would be best",,,,,Support strongly,both,Disagree strongly,Disagree strongly,Agree strongly,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Almost no chance (0-20%),Unlikely (20-40%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Below average,Below average,Below average,Far below average,"No, someone else also earns income","Yes, more than one person",9000,7000,Somewhat certain,15000,5000,25000,25000,Somewhat certain,35000,15000,6000,Will not have children,65000,Will not have children,75000,$41-$50,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree somewhat,1,3,5,2,4,Agree strongly,Probably not,Very unstable,Very worried,Almost no chance (0-10%),3–6 months,The risk is low,The risk is substantial,The risk is high,The risk is high,Non-binary / third gender,Other,Divorced,0,0,White or European American,,Yes,Yes,Pennsylvania,Too small,Rural,Pennsylvania,Too small,Rural,Not a student,Some college,High school degree / GED,2-year college degree,4-year college degree,Unemployed and looking for work,Moderate,Moderate,Kamala Harris,Joe Biden,Unbiased,
