timestart,timeend,responsetype,ipaddress,progress,duration,finished,timerecorded,responseid,lastname,firstname,email,externaldata,latitude,longitude,distribution,language,recaptcha,optin,signature_id,signature_file,signature_size,signature_path,prolificid_resp,age,shouldconcern,progressivity_early,viewchange,viewchange_oth,viewbetter,viewbetter_oth,viewworse,viewworse_oth,poorbenefit,bothbenefit,middlebenefit,taxdemotivates,gapmotivates,fundedu,protecttrade,cuttaxes,univhealth,wealthtax,zerosumrich,zerosumceo,zerosumwomen,zerosumdei,moveup20,moveup50,moveupnow,workhaspaid,workwillpay,eduwillpay,compmoth,compfath,compfam,compper,nohh,hhin10,pinc,pinc10est,pinc10cert,pinc10high,pinc10low,hhinc,hhinc10exp,hhinc10cert,hhinc10high,hhinc10low,hhincneed,child30s,hhincneed30s,child40s,hhincneed40s,stranger100,friend100,oneyr1100,oneyr1500,oneyr2000,fiveyr1100,fiveyr1500,fiveyr2000,currentdesires,ranksalary,rankflex,rankgrowth,rankmeaning,rankenviron,satisfiedbasics,startbiz,stableincome,worriedjob,similarjob,safetynet,riskai,riskclimate,riskhealth,riskhome,progressivity_late,gender,marital,marital_oth,children,childrenplan,race,race_oth,usborn,usbornparents,state,zip,density,homestate,hometown,homedensity,student,edu,eduplan,edumoth,edufath,employment,ideolecon,ideolsocial,vote2024,vote2020,surveybias,feedback,prolificid,progressivity_timing
7/25/25 12:47,7/25/25 13:16,IP Address,92.61.103.90,100,1764,TRUE,7/25/25 13:16,R_6vVJzMdZ70dwYvf,,,,,37.751,-97.822,anonymous,EN,1,1,F_3JgbJ6hpnECKOPI,signature.png,5806,image/png,,24,The government should not concern itself with this.,,I now support redistribution much less than in the past,,,,"I think the policy is worse for the economy now,I think the policy is less fair now",,,,Reject strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Indifferent,Agree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Almost no chance (0-20%),Unlikely (20-40%),Somewhat easier now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Below average,Average,Average,Below average,"No, someone else also earns income","Yes, more than one person",55000,120000,Somewhat certain,130000,110000,105000,210000,Somewhat certain,220000,200000,130000,Will have children,220000,Will have children,280000,$31-$40,$51-$60,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,3,2,1,5,4,Disagree strongly,Definitely / I have already started a business,Very stable,Not worried at all,Likely (60-90%),3–6 months,The risk is low,The risk is low,The risk is low,I have already owned or currently own a home,No change,Female,Married,,0,3,"American Indian or Alaska Native,Hispanic or Latino",,Yes,Yes,Pennsylvania,18704,Suburban,Pennsylvania,Wilkes-Barre,Suburban,Not a student,4-year college degree,"Research doctorate (e.g., PhD, DSc)",High school degree / GED,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Left-wing biased,Everything was just fine.,67f1cc26973bd7f41512c209,late
7/25/25 12:39,7/25/25 13:17,IP Address,71.199.60.104,100,2272,TRUE,7/25/25 13:17,R_3r8IpzgvxK2CLRf,,,,,40.699,-111.841,anonymous,EN,1,1,F_ZkmkeBUiaha0nSx,signature.png,8633,image/png,,20,The government should not concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),No change,,,,,,,Support strongly,,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Indifferent,Agree strongly,Agree strongly,Disagree somewhat,Neutral,Disagree strongly,Neutral,Almost no chance (0-20%),Unlikely (20-40%),Much easier now,It has not paid off much,It will pay off a lot,It will not pay off much,Far below average,Far below average,Far below average,Below average,Yes,"Yes, more than one person",30000,300000,Very certain,500000,200000,,700000,Not very certain,1000000,300000,70000,Will have children,200000,Will have children,300000,$0-$10,$0-$10,"$1,100 in 1 year","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Indifferent,4,1,3,2,5,Neutral,Definitely / I have already started a business,Somewhat stable,Not very worried,Likely (60-90%),Less than 1 month,The risk is low,The risk is low,The risk is low,The risk is low,,Male,Cohabitating,,0,3,Black or African American,,No,No,Utah,84119,Suburban,Utah,South Salt Lake,Suburban,2-year college,Some college,Some college,Eighth grade or less,Eighth grade or less,Full-time employee,Conservative,Conservative,Donald Trump,I did not vote,Right-wing biased,,6685abbd83e060274844e7f2,early
7/25/25 12:32,7/25/25 13:18,IP Address,50.4.193.168,100,2788,TRUE,7/25/25 13:18,R_5abHPyjfUAkRi5C,,,,,42.5538,-82.9185,anonymous,EN,0.8999999761581421,1,F_22oaPlXmZ7IAa23,signature.png,9876,image/png,,28,The government should concern itself with this.,Somewhat more progressive,I now support redistribution slightly more than in the past,,I think the policy is more fair now,,,,,,Support moderately,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Unsure,Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Disagree strongly,Agree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Below average,Below average,Below average,Far below average,"No, someone else also earns income","Yes, more than one person",30000,30000,Very certain,40000,25000,40000,40000,Somewhat certain,50000,25000,25000,Will not have children,40000,Will not have children,40000,$21-$30,$41-$50,"$1,000 today",Indifferent,"$2,000 in 1 year","$1,000 today","$1,000 today",Indifferent,Agree strongly,2,1,5,4,3,Agree strongly,Maybe,Very unstable,Very worried,Unlikely (10-40%),More than 6 months,No risk,No risk,I already live without health insurance,The risk is high,,Male,Single,,0,0,White or European American,,Yes,Yes,Michigan,48035,Suburban,Michigan,Lincoln Park,Suburban,Not a student,High school degree / GED,High school degree / GED,High school degree / GED,High school degree / GED,Unemployed and looking for work,Moderate,Moderate,Donald Trump,I did not vote,Unbiased,,5d847ac9be4b0b00188463d7,early
7/25/25 12:27,7/25/25 13:20,IP Address,64.79.248.180,100,3198,TRUE,7/25/25 13:20,R_1sXSdB5kEA0tObF,,,,,37.751,-97.822,anonymous,EN,1,1,F_3Rl3PVETUPeG5fM,signature.png,10371,image/png,,28,The government should concern itself with this.,,I now support redistribution much more than in the past,,"Taxes affect me less now,I think the policy is better for the economy now,I think the policy is more fair now",,,,Indifferent,,,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Neutral,Neutral,Even chance (40-60%),Even chance (40-60%),Much easier now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Average,Average,"No, someone else also earns income","Yes, more than one person",70000,150000,Somewhat certain,150000,150000,150000,15000,Very certain,150000,150000,150000,Will have children,150000,Will not have children,150000,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree strongly,3,5,4,1,2,Agree strongly,Maybe,Somewhat stable,Not very worried,Likely (60-90%),More than 6 months,No risk,No risk,No risk,No risk,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Female,Married,,1,2,White or European American,,No,Yes,Georgia,24069,Suburban,Georgia,Santa Clara,Suburban,Not a student,4-year college degree,"Professional doctorate (e.g., JD, MD)",High school degree / GED,High school degree / GED,Full-time employee,Conservative,Conservative,Donald Trump,I did not vote,Right-wing biased,the study is easy and clear,6772eefa63ec1102cc8bce2e,late
7/25/25 13:10,7/25/25 13:20,IP Address,76.185.47.11,100,628,TRUE,7/25/25 13:20,R_7lcL19iiHvlB0rK,,,,,32.6085,-96.8655,anonymous,EN,1,1,F_cLQOvsThtsczNER,signature.png,11995,image/png,,22,The government should concern itself with this.,Somewhat more progressive,I now support redistribution much more than in the past,,I think the policy is more fair now,,,,,,Support moderately,Disagree strongly,Neutral,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree strongly,Unlikely (20-40%),Unlikely (20-40%),Somewhat harder now,Unsure,Unsure,Unsure,Average,Above average,Above average,Above average,"No, someone else also earns income","Yes, more than one person",72000,60000,Somewhat certain,80000,80000,72000,60000,Not very certain,80000,80000,40000,Will not have children,55000,Will have children,55000,$31-$40,$61-$70,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,3,1,5,2,4,Agree strongly,Probably,Somewhat stable,Somewhat worried,Even chance (40-60%),1–3 months,The risk is substantial,The risk is low,The risk is substantial,The risk is low,,Female,Single,,0,Unsure,Black or African American,,Yes,Yes,Texas,75115,Suburban,Texas,Texas,Suburban,2-year college,Some college,"Master's degree (e.g., MA, MS, MBA)",,,Self-employed or small business owner,Liberal,Liberal,Kamala Harris,I did not vote,Left-wing biased,,663a76878c91660487934528,early
7/25/25 12:37,7/25/25 13:21,IP Address,97.163.155.210,100,2619,TRUE,7/25/25 13:21,R_5Szesu1sLSjARjj,,,,,25.7869,-80.2021,anonymous,EN,0.8999999761581421,1,F_2B4A9ab2INldAzf,signature.png,8353,image/png,,28,The government should concern itself with this.,Somewhat more progressive,No change,,,,,,,,Indifferent,Neutral,Neutral,Agree somewhat,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Neutral,Neutral,Disagree somewhat,Agree somewhat,Even chance (40-60%),Even chance (40-60%),No change,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Average,Above average,"No, someone else also earns income","Yes, more than one person",55000,100000,Somewhat certain,120000,80000,110000,300000,Somewhat certain,350000,280000,110000,Will have children,80000,Will have children,300000,$41-$50,$41-$50,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,2,5,1,4,3,Agree somewhat,Definitely / I have already started a business,Somewhat stable,Not very worried,Likely (60-90%),More than 6 months,No risk,No risk,The risk is low,The risk is substantial,,Female,Married,,2,4,White or European American,,Yes,Yes,Georgia,30230,Urban,Georgia,Atlanta,Urban,2-year college,4-year college degree,"Professional doctorate (e.g., JD, MD)",Some college,Some college,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Right-wing biased,The study was interesting,67155947b83a6aee15acbc0d,early
7/25/25 12:31,7/25/25 13:22,IP Address,168.235.144.182,100,3039,TRUE,7/25/25 13:22,R_1eoesh4sM19eBsR,,,,,33.9558,-118.3893,anonymous,EN,0.699999988,1,F_57QBH6fj2p5RbZn,signature.png,6671,image/png,,25,The government should concern itself with this.,,I now support redistribution much more than in the past,,I think the policy is better for the economy now,,,,,Support strongly,,Disagree somewhat,Agree somewhat,Agree strongly,Agree somewhat,Disagree strongly,Agree strongly,Agree strongly,Neutral,Agree somewhat,Disagree strongly,Neutral,Unlikely (20-40%),Even chance (40-60%),Somewhat harder now,It has paid off somewhat,It will pay off a lot,It will pay off a lot,Below average,Far below average,Average,Average,"No, someone else also earns income","Yes, more than one person",152000,500000,Very certain,700000,350000,152000,500000,Very certain,700000,350000,80000,Will have children,200000,Will have children,500000,$31-$40,$41-$50,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,4,5,2,3,1,Agree strongly,Definitely / I have already started a business,Somewhat stable,Not very worried,Likely (60-90%),3–6 months,The risk is high,The risk is low,The risk is high,The risk is low,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Cohabitating,,1,4,White or European American,,Yes,Yes,Illinois,60010,Suburban,Illinois,"Springfield, Illinois.",Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Research doctorate (e.g., PhD, DSc)",4-year college degree,4-year college degree,Part-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,67cf23087b91eeb52d262869,late
7/25/25 13:13,7/25/25 13:24,IP Address,64.121.69.202,100,663,TRUE,7/25/25 13:24,R_623jWVIpEFiBjhn,,,,,40.5266,-75.4994,anonymous,EN,1,1,F_1U4subQq9XVKzsZ,signature.png,7157,image/png,,27,The government should concern itself with this.,,I now support redistribution much more than in the past,,I think the policy is more fair now,,,,Support strongly,,,Disagree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,Unlikely (20-40%),Even chance (40-60%),Somewhat harder now,It has not paid off much,It will pay off somewhat,It will not pay off much,Far below average,Below average,Below average,Below average,"No, someone else also earns income","No, just myself",29000,45000,Not very certain,52000,38000,100000,,,,,105000,Will not have children,110000,Will not have children,110000,$0-$10,$0-$10,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,5,2,3,4,Agree strongly,Definitely not,Very unstable,Very worried,Even chance (40-60%),1–3 months,The risk is low,The risk is low,I already live without health insurance,The risk is high,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),Male,Single,,0,0,White or European American,,Yes,Yes,Pennsylvania,18011,Suburban,Pennsylvania,"Easton, PA",Urban,Not a student,4-year college degree,4-year college degree,Some college,4-year college degree,Full-time employee,Liberal,Liberal,Kamala Harris,Joe Biden,Unbiased,,5e0e14d3ecb3ea56d7be5995,late
7/25/25 12:39,7/25/25 13:29,IP Address,38.248.89.20,100,2988,TRUE,7/25/25 13:29,R_3DuS8Wx564qSAZz,,,,,40.7126,-74.0066,anonymous,EN,1,1,F_1FPbk6CZy6M1Ude,signature.png,8763,image/png,,29,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),I now support redistribution slightly more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,,Support moderately,,Disagree somewhat,Disagree somewhat,Agree strongly,Indifferent,Disagree somewhat,Agree strongly,Agree somewhat,Disagree somewhat,Neutral,Disagree somewhat,Agree somewhat,Unlikely (20-40%),Likely (60-80%),Much harder now,It has not paid off much,It will pay off a lot,It will pay off somewhat,Above average,Above average,Average,Average,"No, someone else also earns income","Yes, more than one person",65000,20000,Very certain,180000,140000,96000,300000,Somewhat certain,400000,250000,80000,Will not have children,180000,Will have children,180000,$21-$30,$51-$60,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Disagree somewhat,2,4,1,5,3,Disagree somewhat,Probably,Very stable,Not worried at all,Likely (60-90%),More than 6 months,The risk is substantial,The risk is low,No risk,I have already owned or currently own a home,,Male,Married,,2,3,White or European American,,Yes,Yes,New York,10009,Urban,New York,Littleton,Suburban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",4-year college degree,4-year college degree,Full-time employee,Liberal,Conservative,Donald Trump,Donald Trump,Right-wing biased,,66f02f508e8473f0362ed99e,early
7/25/25 12:34,7/25/25 13:29,IP Address,72.108.246.207,100,3347,TRUE,7/25/25 13:29,R_3EeTWPEgfXGELJL,,,,,25.882,-80.2291,anonymous,EN,1,1,F_2QsQCyU4OPJwhyu,signature.png,6578,image/png,,26,The government should concern itself with this.,Somewhat more progressive,I now support redistribution slightly more than in the past,,I think the policy is better for the economy now,,,,,Support slightly,,Disagree somewhat,Disagree somewhat,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Indifferent,Neutral,Neutral,Neutral,Neutral,Even chance (40-60%),Even chance (40-60%),Much easier now,It has paid off a lot,It will pay off a lot,It will pay off a lot,Below average,Below average,Average,Above average,"No, someone else also earns income","Yes, more than one person",85000,65000,Very certain,85000,75000,145000,180000,Very certain,180000,165000,155000,Will have children,165000,Will have children,180000,$41-$50,$41-$50,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,4,2,5,3,1,Agree strongly,Definitely / I have already started a business,Somewhat stable,Not very worried,Almost no chance (0-10%),1–3 months,The risk is low,No risk,No risk,No risk,,Female,Married,,1,2,White or European American,,Yes,Yes,Florida,32736,Urban,Florida,Florida,Urban,"Research doctoral program (e.g., PhD, DSc)","Research doctorate (e.g., PhD, DSc)","Research doctorate (e.g., PhD, DSc)","Research doctorate (e.g., PhD, DSc)","Research doctorate (e.g., PhD, DSc)",Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,nice study,66deeccfa4a8c62e75e0a557,early
7/25/25 12:34,7/25/25 13:40,IP Address,130.255.67.42,100,3960,TRUE,7/25/25 13:40,R_3q9gZGO4gjiKjhL,,,,,33.6988,-78.916,anonymous,EN,1,1,F_12EzOHZl7wzPayV,signature.png,7314,image/png,,24,The government should concern itself with this.,,No change,,,,,,Support slightly,,,Neutral,Agree somewhat,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Likely (60-80%),Likely (60-80%),No change,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Average,Above average,Above average,"No, someone else also earns income","Yes, more than one person",70000,180000,Very certain,200000,150000,140000,360000,Very certain,400000,280000,200000,Will have children,200000,Will have children,300000,$51-$60,$31-$40,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,5,3,4,2,Agree somewhat,Definitely / I have already started a business,Very stable,Not worried at all,Likely (60-90%),1–3 months,No risk,No risk,No risk,No risk,Somewhat more progressive,Female,Cohabitating,,0,2,White or European American,,Yes,Yes,Washington,98501,Suburban,Texas,Fort Worth,Suburban,"Master's program (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)","Research doctorate (e.g., PhD, DSc)","Master's degree (e.g., MA, MS, MBA)","Master's degree (e.g., MA, MS, MBA)",Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,,67ef13f21c5514bb06d4fc75,late
7/25/25 13:41,7/25/25 13:49,IP Address,143.59.173.254,100,472,TRUE,7/25/25 13:49,R_3dYE6tPP0H3gHRj,,,,,31.356,-85.3342,anonymous,EN,0.800000012,1,F_xhBdg1To3sr8Kpr,signature.png,6807,image/png,,27,The government should concern itself with this.,,No change,,,,,,,Support moderately,,Disagree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Indifferent,Agree strongly,Agree somewhat,Disagree strongly,Agree strongly,Agree somewhat,Disagree somewhat,Unlikely (20-40%),Unlikely (20-40%),Much harder now,It has not paid off much,It will not pay off much,It will not pay off much,Far below average,Far below average,Below average,Below average,"No, someone else also earns income","Yes, more than one person",30000,40000,Not very certain,60000,20000,50000,60000,Not very certain,70000,30000,50000,Will have children,60000,Will not have children,60000,$0-$10,$0-$10,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,5,4,2,3,Agree somewhat,Definitely not,Somewhat unstable,Somewhat worried,Unlikely (10-40%),Less than 1 month,The risk is high,The risk is low,I already live without health insurance,The risk is high,No change,Female,Married,,1,2,White or European American,,Yes,Yes,Alabama,36345,Rural,Tennessee,Knoxville ,Urban,Not a student,High school degree / GED,High school degree / GED,Some high school,High school degree / GED,Full-time employee,Moderate,Moderate,I did not vote,I did not vote,Unbiased,,65390c1abdfe1fd0b200ac11,late
7/25/25 13:29,7/25/25 13:51,IP Address,50.86.195.164,100,1308,TRUE,7/25/25 13:51,R_6KPmc7xxRaLhjup,,,,,32.4147,-90.1208,anonymous,EN,1,1,F_3oA8MHoh1cRf3pa,signature.png,10037,image/png,,28,The government should concern itself with this.,,No change,,,,,,Support moderately,,,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Indifferent,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree somewhat,Even chance (40-60%),Even chance (40-60%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Average,Average,"No, someone else also earns income","Yes, more than one person",80000,40000,Somewhat certain,110000,100000,100000,115000,Somewhat certain,90000,80000,50000,Will have children,60000,Will have children,65000,$91-$100,$0-$10,"$1,000 today","$1,000 today",Indifferent,"$1,000 today","$1,000 today","$1,000 today",Agree somewhat,1,5,4,2,3,Neutral,Maybe,Somewhat stable,Not very worried,Even chance (40-60%),3–6 months,The risk is substantial,The risk is low,The risk is substantial,I have already owned or currently own a home,Somewhat more progressive,Female,Married,,0,2,White or European American,,Yes,Yes,Mississippi,39110,Urban,Mississippi,"Morton, MS",Rural,Not a student,4-year college degree,4-year college degree,High school degree / GED,Some college,Full-time employee,Moderate,Moderate,Donald Trump,Donald Trump,Unbiased,Thank you for the opportunity. ,6713eb5e48cc2fd21195379f,late
7/25/25 13:23,7/25/25 13:59,IP Address,168.235.145.32,100,2147,TRUE,7/25/25 13:59,R_6ti03BZkhQtaGqF,,,,,33.9558,-118.3893,anonymous,EN,0.5,1,F_1F8S8OHQsSbSlDS,signature.png,8121,image/png,,22,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),I now support redistribution much more than in the past,,"I think the policy is better for the economy now,I think the policy is more fair now",,,,,Support strongly,,Disagree strongly,Disagree somewhat,Agree strongly,Disagree somewhat,Disagree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has paid off somewhat,It will pay off somewhat,It will pay off somewhat,Average,Below average,Below average,Average,"No, someone else also earns income","Yes, more than one person",74000,100000,Somewhat certain,140000,90000,145000,175000,Somewhat certain,230000,140000,100000,Will have children,130000,Will have children,140000,$51-$60,$41-$50,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$2,000 in 5 years",Agree somewhat,5,4,2,1,3,Agree somewhat,Maybe,Somewhat stable,Not worried at all,Likely (60-90%),3–6 months,The risk is low,The risk is low,The risk is substantial,The risk is substantial,,Male,Cohabitating,,1,4,White or European American,,Yes,Yes,Texas,78572,Urban,Texas,Mission,Suburban,4-year college,4-year college degree,"Master's degree (e.g., MA, MS, MBA)",4-year college degree,4-year college degree,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,Everything was clear,6824de5d2062f6727f41d51d,early
7/25/25 13:33,7/25/25 14:14,IP Address,64.79.248.6,100,2447,TRUE,7/25/25 14:14,R_5r6zMqmWsicNxVz,,,,,37.751,-97.822,anonymous,EN,1,1,F_3gOeChsREq5VTEG,signature.png,7241,image/png,,29,The government should concern itself with this.,,No change,,,,,,Reject moderately,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Indifferent,Agree somewhat,Indifferent,Agree somewhat,Neutral,Neutral,Neutral,Even chance (40-60%),Even chance (40-60%),No change,It has paid off somewhat,It will pay off somewhat,It will pay off a lot,Average,Average,Average,Average,"No, someone else also earns income","Yes, more than one person",45000,70000,Somewhat certain,150000,20000,95000,120000,Somewhat certain,150000,25000,80000,Will not have children,150000,Will not have children,170000,$21-$30,$51-$60,"$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today","$1,000 today",Indifferent,2,4,1,5,3,Neutral,Maybe,Somewhat stable,Very worried,Even chance (40-60%),3–6 months,The risk is substantial,The risk is substantial,The risk is substantial,The risk is substantial,No change,Female,Married,,2,2,White or European American,,Yes,Yes,Kentucky,40517,Urban,Kentucky, LEXINGTON,Urban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Professional doctorate (e.g., JD, MD)",4-year college degree,4-year college degree,Full-time employee,Conservative,Conservative,Donald Trump,Donald Trump,Unbiased,NA,66c5118758e462c3fe742d2a,late
7/26/25 7:50,7/26/25 7:58,IP Address,174.180.166.198,100,447,TRUE,7/26/25 7:58,R_3gIrAQdFyBM6Xr9,,,,,32.4147,-90.1208,anonymous,EN,0.8999999761581421,1,F_2ahQcnqHNmOeDJX,signature.png,7650,image/png,,23,The government should concern itself with this.,Much more progressive (lower earners should pay a lot less than they do now and higher earners should pay a lot more than they do now),I now support redistribution much more than in the past,,I think the policy is more fair now,,,,,,Support slightly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Almost no chance (0-20%),Even chance (40-60%),Much harder now,Unsure,It will pay off somewhat,It will pay off somewhat,Below average,Below average,Average,Below average,"No, someone else also earns income","Yes, more than one person",5000,100000,Not very certain,150000,20000,70000,50000,Not very certain,80000,10000,50000,Will not have children,70000,Will not have children,70000,$0-$10,$0-$10,"$1,000 today","$1,500 in 1 year","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Agree somewhat,2,3,5,4,1,Agree strongly,Probably not,Somewhat unstable,Not very worried,Even chance (40-60%),1–3 months,The risk is low,The risk is substantial,The risk is substantial,The risk is substantial,,Male,Single,,0,0,White or European American,,Yes,Yes,Mississippi,39157,Suburban,Mississippi,Ridgeland,Suburban,4-year college,2-year college degree,4-year college degree,2-year college degree,Some college,Student,Liberal,Liberal,I did not vote,Joe Biden,Unbiased,,6578c0ce1348ad8e79a65d0b,early
7/26/25 7:48,7/26/25 7:58,IP Address,138.88.177.242,100,607,TRUE,7/26/25 7:58,R_78P5DVlYCAHs1F6,,,,,39.1181,-76.8396,anonymous,EN,0.8999999761581421,1,F_PtvLWGSrVV4Z2mZ,signature.png,6732,image/png,,27,The government should concern itself with this.,Somewhat more progressive,I now support redistribution slightly less than in the past,,,,"I think the policy is worse for the economy now,I think the policy is less fair now",,Support slightly,,,Disagree strongly,Disagree strongly,Agree strongly,Agree somewhat,Indifferent,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Unlikely (20-40%),Even chance (40-60%),Much harder now,It has paid off somewhat,It will pay off a lot,It will pay off somewhat,Below average,Above average,Average,Above average,"No, someone else also earns income","Yes, more than one person",85000,250000,Very certain,350000,150000,1250000,350000,Somewhat certain,400000,250000,90000,Will have children,150000,Will have children,175000,$61-$70,$21-$30,"$1,000 today","$1,000 today","$2,000 in 1 year","$1,000 today","$1,000 today","$1,000 today",Indifferent,2,1,5,3,4,Disagree somewhat,Probably,Somewhat stable,Not worried at all,Likely (60-90%),More than 6 months,The risk is low,The risk is low,No risk,The risk is low,,Male,Single,,0,3,"Middle Eastern or North African,White or European American",,Yes,No,Maryland,21043,Suburban,Maryland,Baltimore Maryland,Urban,"Master's program (e.g., MA, MS, MBA)",4-year college degree,"Master's degree (e.g., MA, MS, MBA)",4-year college degree,Some college,Full-time employee,Conservative,Moderate,Donald Trump,Donald Trump,Unbiased,,5db3318476478d000fcfa0eb,early
